place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
10,3,2,0.0,2021,21.0,7.0,1.0,1.0,3,2.0,1.0,1.0,50.0,19,10,1,77,77333,2,1,0.0,6.0,48.266806,2.689863,12,2,1
1,1,1,2.0,2021,17.0,2.0,2.0,1.0,3,2.0,1.0,1.0,50.0,14,4,1,7,7245,1,1,0.0,3.0,45.068069,4.78674,18,2,2
10,3,2,0.0,2021,69.0,10.0,1.0,1.0,3,2.0,2.0,1.0,30.0,12,1,1,92,92023,2,1,1.0,6.0,48.7883,2.25826,11,2,1
1,1,1,0.0,2021,27.0,1.0,2.0,5.0,3,2.0,1.0,1.0,80.0,26,8,2,65,65057,1,1,1.0,3.0,43.195357,-0.000644,7,2,2
1,1,1,1.0,2021,43.0,7.0,2.0,1.0,3,2.0,1.0,1.0,50.0,19,6,1,65,65440,2,1,0.0,4.0,43.2381,0.04012,11,3,3
1,1,2,2.0,2021,34.0,31.0,2.0,1.0,3,4.0,1.0,1.0,50.0,24,9,5,94,94017,2,1,0.0,3.0,48.82935,2.49329,22,2,2
1,1,1,2.0,2021,43.0,33.0,2.0,1.0,1,3.0,1.0,1.0,110.0,16,11,5,33,33096,1,9,0.0,6.0,44.8903,-0.50295,20,2,2
1,1,2,2.0,2021,22.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,21,5,1,63,63113,2,1,0.0,3.0,45.7642030717,3.0920617278,13,2,2
1,1,1,1.0,2021,38.0,7.0,2.0,1.0,2,2.0,1.0,1.0,50.0,23,5,1,978,97801,2,1,0.0,3.0,18.061476,-63.042104,11,2,2
1,1,1,8.0,2021,34.0,7.0,0.0,1.0,4,1.0,1.0,1.0,30.0,29,9,5,76,76540,2,1,0.0,6.0,49.44897,1.07932,23,1,1
10,3,1,0.0,2021,67.0,7.0,1.0,1.0,3,2.0,1.0,1.0,50.0,4,2,5,1,1443,2,1,0.0,6.0,46.006173,5.033809,17,2,1
1,1,1,1.0,2021,39.0,10.0,0.0,1.0,3,3.0,1.0,1.0,70.0,24,11,3,94,94060,1,1,0.0,7.0,48.786698,2.562985,5,1,1
7,2,2,1.0,2021,55.0,7.0,2.0,1.0,1,3.0,7.0,1.0,130.0,10,2,1,28,28363,1,1,1.0,5.0,48.416726,1.898317,17,4,2
1,1,1,1.0,2021,52.0,7.0,2.0,1.0,4,1.0,1.0,1.0,50.0,1,1,1,75,75118,2,1,0.0,5.0,48.900606,2.358782,11,5,5
