Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,circ,nbv,vosp,prof,pr,pr1,plan,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,id_usager,id_vehicule_y,num_veh_y,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 566,155 781 749,B01,3,2,1,1,1984.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 567,155 781 749,B01,5,2,1,1,2007.0,0,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 568,155 781 749,B01,1,1,1,1,1987.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 563,155 781 748,A01,1,1,4,1,1975.0,1,1,8,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 564,155 781 749,B01,2,2,1,1,1981.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 565,155 781 749,B01,4,2,1,1,1983.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 566,155 781 749,B01,3,2,1,1,1984.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 567,155 781 749,B01,5,2,1,1,2007.0,0,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,0,0,1,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 568,155 781 749,B01,1,1,1,1,1987.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 563,155 781 748,A01,1,1,4,1,1975.0,1,1,8,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 564,155 781 749,B01,2,2,1,1,1981.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 565,155 781 749,B01,4,2,1,1,1983.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 566,155 781 749,B01,3,2,1,1,1984.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 567,155 781 749,B01,5,2,1,1,2007.0,0,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 748,A01,3,7,0,2,1,1,1,203 988 568,155 781 749,B01,1,1,1,1,1987.0,4,1,0,-1,-1, -1,-1
202400000006,25,3,2024,04:00,5,13,13215,2,2,1,3,Petite Ourse (rue de la),43.34147,5.37306,4,Petite Ourse (rue de la),0,2,3,0,2,0,0,1,-1.0,1,5,1,50,155 781 749,B01,2,7,0,2,6,19,1,203 988 563,155 781 748,A01,1,1,4,1,1975.0,1,1,8,-1,-1, -1,-1
