__id,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc
37,202400000023,155 781 720,A01,0,7,0,2,0,0,0,
38,202400000023,155 781 721,B01,1,7,0,2,3,1,1,
39,202400000024,155 781 719,A01,3,2,8,0,1,14,1,
40,202400000025,155 781 715,D01,1,7,0,2,1,2,0,
41,202400000025,155 781 716,A01,1,7,0,2,4,2,1,
42,202400000025,155 781 717,B01,1,7,0,2,1,2,0,
43,202400000025,155 781 718,C01,1,7,0,2,1,2,1,
44,202400000026,155 781 714,A01,3,50,0,1,1,1,3,
45,202400000027,155 781 713,A01,1,1,0,1,7,12,5,
46,202400000028,155 781 712,A01,1,7,0,1,1,0,1,
47,202400000029,155 781 708,A01,2,10,0,1,8,15,1,
48,202400000030,155 781 704,A01,1,10,0,2,1,16,1,
49,202400000030,155 781 705,B01,1,80,0,2,8,1,3,
50,202400000031,155 781 702,A01,3,7,0,2,8,10,1,
51,202400000031,155 781 703,B01,3,33,0,2,7,1,1,
52,202400000032,155 781 700,A01,1,33,0,2,1,1,1,
53,202400000032,155 781 701,B01,1,7,0,2,6,2,1,
54,202400000033,155 781 699,A01,3,7,0,1,1,15,1,
55,202400000034,155 781 698,A01,2,33,0,1,1,1,1,
56,202400000035,155 781 696,A01,1,10,0,2,2,16,1,
57,202400000035,155 781 697,B01,1,34,0,2,1,1,1,
58,202400000036,155 781 694,B01,1,7,0,2,5,15,2,
59,202400000036,155 781 695,A01,1,33,0,2,2,17,1,
60,202400000037,155 781 693,A01,1,7,0,0,0,1,1,
61,202400000038,155 781 690,A01,2,7,3,2,2,11,1,
62,202400000038,155 781 691,B01,2,7,3,2,6,11,1,
63,202400000038,155 781 692,C01,2,7,3,2,0,2,1,
64,202400000039,155 781 688,A01,1,33,0,2,1,17,1,
65,202400000039,155 781 689,B01,2,7,0,2,3,15,1,
66,202400000040,155 781 685,A01,2,7,0,2,1,1,1,
67,202400000040,155 781 686,B01,2,10,0,2,4,1,1,
68,202400000040,155 781 687,C01,2,7,0,2,4,1,2,
69,202400000041,155 781 684,A01,1,7,15,0,1,1,1,
70,202400000042,155 781 682,A01,1,7,0,2,3,1,1,
71,202400000042,155 781 683,B01,1,7,0,2,8,19,1,
72,202400000043,155 781 681,A01,2,10,0,1,3,1,0,
73,202400000044,155 781 677,A01,2,32,0,2,2,3,1,
74,202400000044,155 781 678,B01,2,17,0,2,8,1,1,
75,202400000044,155 781 680,C01,2,10,0,2,2,1,1,
76,202400000045,155 781 676,B01,3,32,0,2,1,1,1,
77,202400000045,155 781 679,A01,3,7,0,2,1,15,1,
78,202400000046,155 781 675,A01,1,7,4,0,3,1,1,
79,202400000047,155 781 674,A01,2,7,0,1,7,1,1,
80,202400000048,155 781 669,B01,1,7,0,0,4,23,1,
81,202400000048,155 781 671,A01,1,15,0,2,1,2,1,
82,202400000048,155 781 672,D01,1,99,0,0,6,23,1,
83,202400000048,155 781 673,C01,1,7,0,2,9,23,3,
84,202400000049,155 781 670,A01,1,7,6,0,2,1,1,
85,202400000050,155 781 668,A01,1,7,4,0,1,26,1,
86,202400000051,155 781 666,A01,1,7,0,0,0,15,1,
87,202400000051,155 781 667,B01,1,33,4,0,1,21,1,
88,202400000052,155 781 664,A01,2,34,0,2,8,11,0,
89,202400000052,155 781 665,B01,2,7,0,2,2,1,0,
90,202400000053,155 781 663,A01,1,10,13,0,1,1,1,
91,202400000054,155 781 660,A01,1,7,0,2,3,1,1,
92,202400000054,155 781 661,C01,1,33,0,2,1,1,1,
93,202400000054,155 781 662,B01,1,7,0,2,4,1,3,
94,202400000055,155 781 654,A01,1,43,0,2,5,17,1,
95,202400000055,155 781 656,B01,1,7,0,2,3,1,1,
96,202400000055,155 781 658,C01,1,7,0,2,2,1,1,
97,202400000056,155 781 651,A01,2,33,0,2,3,18,1,
98,202400000056,155 781 652,B01,2,7,0,2,7,1,1,
99,202400000057,155 781 650,B01,1,7,0,2,3,16,1,
100,202400000057,155 781 653,A01,2,10,0,2,3,15,1,
